




|0150|109159520001997145|ART-BEGE MARMORES E GRANITOS LTDA.|1058|10915952000199||082645388|3201209||Rodovia Ricardo Barbieri|0|KM 08 - FAZENDA SANTA|Boa Vista|
|0150|133323780001347157|NEW TECNOLOGIA DA INFORMAÇÃO LTDA|1058|13332378000134||082789134|3201209||Rua Jorge Luiz da Silva|34||Jardim Itapemirim|
|0150|173498420001567010|FILETTOS MARMORES E GRANITOS LTDA|1058|17349842000156||082924910|3201209||ROD. ENGENHEIRO FABIANO VIVACQUA|S/N|KM 1.4|CENTRAL PARQUE|
|0150|190046770001267237|ESTRELA DO SUL LTDA|1058|19004677000126||082988005|3201209||ESTRADA SAO JOAQUIM|SN|RUA 21 DIST IND SAO JOAQUIM|MORRO GRANDE|
|0150|201876810001567022|PEDRA DE MINAS EIRELI|1058|20187681000156||083574204|3201209||RODOVIA RICARDO BARBIERI|S/N|KM 05|Córrego dos Monos|
|0150|281526500001711248|ESPIRITO SANTO CENTRAIS ELETRICAS S.A - ESCELSA|1058|28152650000171||080250165|3205309||PRAÇA COSTA PEREIRA|210|3º andar|CENTRO|
|0150|306827050001056921|EVEREST COMERCIO DE PEDRAS E TRANSPORTES EIRELI|1058|30682705000105||9078369679|4105805||LOC ESTRADA DA GRACIOSA|839||ATUBA|
|0150|80223944000167150|PARANA GRANITOS LTDA (COLOMBO)|1058|80223944000167||1030235998|4105805||ROD. BR 116, Nº75 KM 85|||RINCAO|
|0150|975509030001887265|SAO FRANCISCO MARMORES E GRANITOS LTDA|1058|97550903000188||082809496|3201209||AREA LOCALIDADE DE CORREGO DO BRAZ|S/N|ZONA RURAL|DISTRITO DE CORREGO DOS M|



|0200|CP_661_1|GRANITO BENEFICIADO - PRETO - BLACK STELLARIS - Esp.2,0cm|||M2|03|68029390||||0||
|0200|CP_769_1|GRANITO BENEFICIADO - MARROM - CAFÉ COLONIAL - Esp.2,0cm|||M2|03|68029390||||0||
|0200|CP_679_2|MARMORE BENEFICIADO - BRANCO - MARMORE BRANCO COMUM - Esp.3,0cm|||M2|03|68029100||||0||
|0200|513CP|Bloco MARMORE - BEGE - CREMA PARANA.       ID: 513CP|||M3|03|25151100||||0||
|0200|CP_1_1|GRANITO BENEFICIADO - MARROM - CAFE IMPERIAL - Esp.2,0cm|||M2|03|68029390||||0||
|0200|CP_20_1|GRANITO BENEFICIADO - PRETO - BLUE GALAXY - Esp.2,0cm|||M2|03|68029390||||0||
|0200|CP_765_43|MARMORE BENEFICIADO - BEGE - TRAVERTINO ROMANO - Esp.PIETRAFINA|||M2|03|68029100||||0||
