grupo;cnpj_v2;razao_social;areas_no_v1;ativo_v1;situacao_v1
CONTEXTO;31.558.431/0001-00;SALUD COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS E DESCARTAVEIS LTDA;Contábil + Fiscal + Pessoal;não;MENSAL
CONTEXTO;01.539.164/0001-54;SAO FRANCISCO ESCOLA DE CONDUTORES LTDA - ME;Contábil + Fiscal + Pessoal;não;NÃO INFORMADO
CONTEXTO;05.607.657/0013-79;SCANSOURCE BRASIL DISTRIBUIDORA DE TECNOLOGIAS LTDA;Fiscal;não;AVULSO
CONTEXTO;01.069.382/0001-72;SEI SERVICOS ENGENHARIA E INTALAÇÕES LTDA;Contábil + Pessoal;não;MENSAL
CONTEXTO;23.776.993/0001-93;SHHC SAUDE SOLUCOES INTEGRADAS LTDA;Contábil + Fiscal;não;MENSAL
CONTEXTO;11.172.115/0001-80;SOETA RESTAURANTE LTDA;Pessoal;não;MENSAL
CONTEXTO;27.648.647/0001-80;SOLUCAO INTEGRADA ASSESSORIA E CONSULTORIA LTDA - ME;Contábil + Fiscal + Pessoal + Outros;não;MENSAL
CONTEXTO;21.498.124/0004-61;TECHNOFOCUS COMERCIO, IMPORTACAO E EXPORTACAO LTDA;Contábil + Pessoal;não;MENSAL
CONTEXTO;43.390.996/0009-59;TEXTIL DALUTEX LTDA;Fiscal;não;MENSAL
CONTEXTO;01.737.012/0001-66;TKS SERVICE LTDA;Contábil + Fiscal;não;MENSAL
CONTEXTO;14402098000380;TOP DISTRIBUIDORA DE COSMETICOS LTDA;Contábil + Fiscal + Pessoal + Legalização;não;MENSAL
CONTEXTO;22.572.224/0002-91;TRI UP TRADE IMPORT EXPORT LTDA;Contábil + Pessoal;não;MENSAL
CONTEXTO;06.319.981/0003-82;UNISAM OFFSHORE AGENCIA MARITIMA E OPERADORA PORTUARIA LTDA;Contábil + Pessoal;não;MENSAL
CONTEXTO;06.319.981/0002-00;UNISAM OFFSHORE AGENCIA MARITIMA E OPERADORA PORTUARIA LTDA;Contábil + Pessoal;não;MENSAL
CONTEXTO;06.319.981/0004-63;UNISAM OFFSHORE AGENCIA MARITIMA E OPERADORA PORTUARIA LTDA;Contábil + Pessoal;não;MENSAL
CONTEXTO;10.441.417/0001-43;V3 HOLDING S/A;Fiscal;não;MENSAL
CONTEXTO;20.119.431/0001-89;VARGAS JR - EMPREENDIMENTOS COMERCIAIS LTDA;Contábil + Fiscal + Pessoal;não;MENSAL
CONTEXTO;20.861.706/0001-55;VITORIA DESENVOLVIMENTO EIRELI - ME;Contábil + Fiscal + Pessoal;não;MENSAL
CONTEXTO;04.257.245/0003-11;VITORIA MINING - MINERACAO IMPORTACAO E EXPORTACAO LTDA;Outros;não;MENSAL
CONTEXTO;00.338.678/0001-89;VITORIA STONE INDUSTRIA E COMERCIO S/A;Pessoal;não;MENSAL
CONTEXTO;00.338.678/0002-60;VITORIA STONE INDUSTRIA E COMERCIO S/A;Pessoal;não;MENSAL
CONTEXTO;22.477.902/0001­-56;W VIX EVENTOS, ENTRETENIMENTO E ADMINISTRACAO LTDA;Contábil + Fiscal + Pessoal;não;MENSAL
CONTEXTO;19.898.145/0001-80;ZORZAL TREINAMENTOS - ME;Contábil + Fiscal + Pessoal;não;MENSAL
